epoch,truth,pred_v22_base,pred_ruleb_raw,pred_ruleb_persist,pred_ruleb_osc,pred_ruleb_combo,trigger_ruleb_raw,trigger_ruleb_persist,trigger_ruleb_osc,trigger_ruleb_combo,override_help_class_ruleb_raw,override_help_class_ruleb_persist,override_help_class_ruleb_osc,override_help_class_ruleb_combo,reason_ruleb_raw,reason_ruleb_persist,reason_ruleb_osc,reason_ruleb_combo,slow_retention,hinge_torsion,transition_score_v23,ruleb_raw_warning,ruleb_persist_2,ruleb_persist_2of3,ruleb_persist_3of3,ruleb_warn_count_3,fast_alt_3epoch,fs_disagree_count_3,phase_disagree_count_3,polarity_inv_count_3,hinge_flip_count_3,energy_flip_count_3,width_rebound_pattern_3,width_monotonic_collapse_3,oscillation_score_v24,oscillation_warning_v24,fan_width_velocity,fan_energy_total,energy_delta,trigger_reason,trigger_detail
320810,Bear,Bear,Bear,Bear,Bear,Bear,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,1.2831363593741116,0.2509115199457944,0,0,0,0,0,0,1,1,1,1,0,2,0,0,3,1,-168.55450955798733,5.570987129091009,3.794147545573651,oscillation,"fast_alt,polarity_cnt=1,energy_flip=2"
320811,Bull,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,1.7060719943310687,1.0,2,1,0,0,0,1,1,1,1,1,0,2,1,0,4,1,101.22559795553389,3.1121023745563434,-2.4588847545346653,ruleb_raw|oscillation,"fast_alt,polarity_cnt=1,energy_flip=2,width_rebound"
320812,Bull,Bear,Bear,Bear,Bear,Bear,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,0.8817165098826081,0.5103042039794373,2,0,0,0,0,1,0,1,1,1,0,1,0,0,2,1,73.58065025665564,2.1453598609277837,-0.9667425136285597,oscillation,"polarity_cnt=1,energy_flip=1"
320813,Bear,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,0.3393405718779831,0.6307034968061224,2,0,0,0,0,1,0,2,2,1,0,1,0,0,4,1,-54.50402449547255,1.5440815937727166,-0.6012782671550672,oscillation,"fs_disagree=2,phase_cnt=2,polarity_cnt=1,energy_flip=1"
320814,Bull,Bear,Bear,Bear,Bear,Bear,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,1.0070249452564894,0.1126249702667257,1,0,0,0,0,0,0,1,1,2,0,1,1,0,3,1,83.480454414821,3.0695853551842447,1.525503761411528,oscillation,"polarity_cnt=2,energy_flip=1,width_rebound"
320815,Bear,Bull,Bull,Bull,Bull,Bull,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,0.3808282554800826,0.3757826857058283,0,0,0,0,0,0,0,1,1,1,0,2,1,0,3,1,-118.41186730797926,1.7331914477745158,-1.3363939074097289,oscillation,"polarity_cnt=1,energy_flip=2,width_rebound"
320816,Bull,Bear,Bear,Bear,Bear,Bear,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,0.6771685812964279,0.1285043454914948,1,0,0,0,0,0,1,0,0,2,0,2,1,0,4,1,85.98088823442231,1.471996376347306,-0.26119507142720977,oscillation,"fast_alt,polarity_cnt=2,energy_flip=2,width_rebound"
320817,Bear,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,0.3211796456816955,1.0,2,0,0,0,0,0,0,1,1,1,0,1,1,0,3,1,-46.56401048331463,1.047744585242981,-0.4242517911043251,oscillation,"polarity_cnt=1,energy_flip=1,width_rebound"
320818,Bear,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,0.2334843121861922,0.4436796100865293,0,0,0,0,0,0,0,1,1,1,0,1,0,0,2,1,-74.61218657942663,5.2210996549856645,4.1733550697426836,oscillation,"polarity_cnt=1,energy_flip=1"
320822,Bull,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,0.234697822950693,0.3027307100076016,1,0,0,0,0,0,1,1,2,0,0,3,0,0,3,1,4.984127128860564,1.7868196672316117,-0.25559065865854835,oscillation,"fast_alt,phase_cnt=2,energy_flip=3"
